rank,mix,title,department,rubric,age_days,views,sim
1,baseline,30 интересных марок мужской одежды на любой бюджет,Город,Покупай отечественное,697,384250,0.908
2,baseline,28 отличных секонд-хендов в Петербурге,Списки,Карты,962,231100,0.843
3,baseline,20 российских марок верхней оде­жды,Вещи,Покупай отечественное,78,419850,0.841
4,baseline,60 качественных брендов женской одежды на Wild­berries,Город,Покупай отечественное,270,518800,0.84
5,baseline,11 брендов одежды для невысоких людей,Списки,Другое,794,79650,0.836
6,baseline,"Дешевле, чем на Wildberries: 11 сим­патичных находок на распро­дажах — все до 5 000",Вещи,,50,5350,0.821
7,baseline,"11 отличных бело­русских брендов одежды, которые продаются в России",Город,Другое,689,94900,0.819
8,baseline,55 лучших российских брендов сумок,Вещи,Покупай отечественное,167,221450,0.816
9,baseline,"10 новых мужских брендов для тех, кто привык одеваться в Zara, COS и Massimo Dutti",Списки,Другое,892,18500,0.814
10,baseline,57 качественных брендов мужской одежды на Wild­berries,Город,Другое,263,274700,0.814
11,baseline,24 лучших российских бренда обуви,Вещи,Покупай отечественное,56,647250,0.81
12,baseline,27 отличных москов­ских секонд-хендов,Город,Карты,2471,778400,0.805
