system,rank,title,rubric,author,age_days,views,sim,ltr_score
baseline_sim,1,Кардиолог выписал лекарство: как сэко­номить на препара­тах,Как жить,Даниил Давыдов,357,130350,0.733,-0.167
baseline_sim,2,Что такое статины и кому нужно их принимать,Другое,Ани Газоян,603,17050,0.727,-0.197
baseline_sim,3,Экономия на лекарствах: ищем дешевые аналоги,,Екатерина Табатчикова,2732,25550,0.726,-0.609
baseline_sim,4,Домашняя аптечка: средства на все случаи жизни для двоих,Другое,,501,9700,0.725,-0.144
baseline_sim,5,"Препараты в неврологии: как понять, что работает, и можно ли их замен…",Другое,Даниил Давыдов,2104,281500,0.723,-0.352
baseline_sim,6,"Проверяем аптечку: 9 препаратов, на которые не стоит рассчитывать",Другое,Даниил Давыдов,1232,17850,0.719,-0.095
baseline_sim,7,Эффективные лекар­ства от простуды и их недорогие дженерики,Другое,Даниил Давыдов,202,1724850,0.717,-0.104
baseline_sim,8,"11 сахароснижающих препаратов, которые часто назначают врачи",Другое,Владислава Романенко,637,42500,0.715,-0.187
LTR (LightGBM),1,Какие успокоительные с доказанной эффективностью можно купить без рец…,Что делать,Даниил Давыдов,357,111550,0.658,0.328
LTR (LightGBM),2,"«Можно продлить активную жизнь»: кардиолог об атеросклерозе, холестер…",Интервью,Екатерина Кушнир,1210,184650,0.686,0.294
LTR (LightGBM),3,"11 обезболивающих, которые часто назна­чают от острой боли",Другое,Владислава Романенко,658,15600,0.708,0.267
LTR (LightGBM),4,"«Боль в правом боку — это, скорее всего, не печень»: 11 вопросов гепа…",Интервью,Екатерина Кушнир,1392,61650,0.694,0.254
LTR (LightGBM),5,Что будет с лекарствами в России: разбираем 5 групп психиатрических п…,Другое,Даниил Давыдов,1470,54600,0.685,0.233
LTR (LightGBM),6,Ноотропы: правда ли они улучшают работу мозга,Как жить,Даниил Давыдов,2009,432150,0.691,0.19
LTR (LightGBM),7,7 неработающих средств от тревоги,Другое,Даниил Давыдов,1247,292450,0.683,0.147
LTR (LightGBM),8,Сколько стоит вылечить импотенцию,Здоровье купишь,Даниил Давыдов,1966,45900,0.663,0.11
