rank,mix,title,department,rubric,sim,ltr_score
1,similar,Помогает ли «анти­гадин» отучить кошку метить?,Животные,,0.824,0.354
2,similar,Почему кошка лезет в камеру хвостом во время созвонов?,Животные,Материалы из сообщества,0.752,0.233
3,similar,"Правда ли, что самовыгул опасен для кошки?",Благотворительность,Материалы из сообщества,0.776,-0.005
4,explore,Фото питомца: кот Лансик охотится на птичку,Животные,Материалы из сообщества,0.463,-0.412
5,similar,"Правда ли, что кошки не чувствуют вкусов?",Животные,Другое,0.733,-0.041
6,similar,Лоток под шкафом и лежанка из чемо­дана: 8 деталей интерьера для домаш­­них животных,Списки,Другое,0.747,-0.07
7,explore,Фото питомца: курильский бобтейл Златан — очень гордый кот,Животные,Материалы из сообщества,0.384,-0.542
8,similar,Как определить возраст кошки,Списки,,0.734,-0.092
9,similar,"5 запахов, которые не любят кошки",Списки,,0.774,-0.094
10,explore,«Рацион стал проще и плотнее»: что я ем после переезда в Патагонию,Еда,Материалы из сообщества,0.364,-0.774
11,similar,Как подружить кошек?,Что делать,Материалы из сообщества,0.804,-0.104
12,similar,Как разнообразить жизнь слепого кота?,Что делать,Материалы из сообщества,0.792,-0.183
