rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Грузия открыла границы для туристов из России: правила въезда,Новости,Тревел-новости,1901,162989,0.814
2,baseline,Как я оформила банковскую карту в Грузии в 2022 году,Чемодан,Читатели путешествуют,1328,186600,0.789
3,baseline,Грузия открывает границы для россиян с отрицательным результатом теста на коронавирус,Чемодан,Тревел-новости,1875,42224,0.788
4,baseline,Правила въезда в Армению для рос­сиян в 2026 году,Чемодан,Другое,1149,463650,0.786
5,baseline,Россия открыла сухопутную границу с Грузией,Чемодан,Тревел-новости,1428,80769,0.782
6,baseline,«Трудно найти некоторые привычные продукты»: как я переехала в Грузию,Чемодан,Материалы из сообщества,1155,8150,0.77
7,baseline,Грузия отменила все коронавирусные ограничения для туристов,Чемодан,Тревел-новости,1399,4146,0.77
8,baseline,Правила въезда в Киргизию для россиян в 2026 году,Чемодан,Другое,84,308550,0.769
9,baseline,Как добраться из России в Грузию,Чемодан,Тревел-новости,923,31750,0.769
10,baseline,Правила въезда в Таджикистан для рос­сиян в 2026 году,Чемодан,Другое,914,66950,0.765
11,baseline,Какие документы нужны для поездки с ребенком за границу?,Что делать,Что делать,1082,31450,0.765
12,baseline,Правила въезда в Боснию и Герцего­вину для россиян в 2026 году,Чемодан,Другое,777,67950,0.761
