rank,mix,title,department,rubric,age_days,views,sim
1,baseline,iPhone 15: обзор оптимального базового Айфона,Технологии,Другое,85,408000,0.85
2,baseline,Лучшие Айфоны для покупки с рук,Сравнятор,Другое,721,78950,0.82
3,baseline,"Обзор iPhone 14 Pro: тестируем новый экран, камеру и процессор …",Технологии,Другое,1292,49750,0.81
4,baseline,iPhone 15 Pro Max: обзор самого мощного и удобного из «больших»…,Технологии,Другое,923,345050,0.809
5,baseline,"Какими будут iPhone 17-й серии: новый дизайн, улучшенные экраны…",Технологии,Другое,382,10300,0.806
6,baseline,Айфоны: какие бывают и чем разли­чаются в 2026 году,Технологии,Что делать,85,39150,0.804
7,baseline,Главное о iPhone 17 Pro Max: что нового и стоит ли пере­хо­дить…,Технологии,,203,15650,0.801
8,baseline,Лучшие Айфоны: 7 вари­антов,Технологии,Другое,15,759550,0.791
9,baseline,Что лучше: iPhone 16 Pro или iPhone 17,Вещи,,20,10600,0.79
10,baseline,Обзор смартфона Apple iPhone 14,Технологии,Другое,1294,131700,0.789
11,baseline,"Realme 13 Pro+: обзор характе­ристик и цен, сравнение с анало­г…",Сравнятор,Другое,602,21400,0.787
12,baseline,Обзор iPhone 16: самый свежий Айфон за много лет,Технологии,Другое,561,97750,0.784
