rank,mix,title,department,rubric,sim,ltr_score
1,similar,"Правда ли, что можно рассчитать биологический возраст? И как это сделать — несколько простых способов",Медицина,,0.601,0.12
2,similar,ЗОЖ-дневник: как я бросил пить и уже 5 месяцев учусь жить по-новому,Медицина,,0.596,0.052
3,similar,Как поддерживать здоровье после менопаузы: 6 рабо­чих способов,Медицина,,0.588,-0.062
4,explore,"Что делать, если вашу машину во дворе ударили и скрылись",Авто,,0.396,0.084
5,similar,«Строгие технологи­ческие рамки лишают ее души»: как сделать чачу из винограда в домашних усло­виях,Гайды,Как жить,0.575,-0.18
6,similar,Что такое текучесть кадров и почему сотрудники уходят даже из хороших компаний,Бизнес,,0.576,-0.195
7,explore,"«Цвет был такой редкий, что прохо­жие оборачивались»: 6 историй о покупке первой машины",Авто,,0.37,-0.437
8,similar,"Ухудшение памяти, лишний вес и еще 7 неочевидных последствий употреб­ления алкоголя",Медицина,Другое,0.694,-0.197
9,similar,"Правда ли, что у худых людей быстрый метабо­лизм, а у полных — медленный?",Спорт и фитнес,,0.581,-0.199
10,explore,Водятся ли акулы в Черном море?,Животные,,0.399,-0.832
11,similar,Банкетный кальку­лятор: сколько алкоголя купить на праздник,Еда,Другое,0.638,-0.232
12,similar,«В мою жизнь верну­лись субботы»: почему отказ от алкоголя — лучший эксперимент над собой,Подкасты и видео,,0.619,-0.239
