rank,source_article_id,candidate_article_id,mix,score,similarity,candidate_title,candidate_department,candidate_rubric
1,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,6454f909-d28d-43fa-864b-57d009347871,similar,0.7936703191732677,0.734427809715271,Что добавляют в БАДы для похуде­ния — и почему они опасны?,Медицина,
2,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,8ac1455a-a0bf-4273-9c0a-b7f2ae5a747b,similar,0.7881598948917226,0.7580803036689758,Как поддерживать здоровье после менопаузы: 6 рабо­чих способов,Медицина,
3,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,f838c618-3f8e-466a-bda1-e911d6b12f2f,similar,0.7840881518665378,0.7193049192428589,Я попробую сделать свой рацион более полезным после неподтвердившегося подозрения на сахарный диабет,Медицина,Материалы из сообщества
4,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,2ddaa6ec-765b-4d09-b34c-e9bbc8b6bf73,similar,0.781863175055098,0.789871335029602,"Атеросклероз, остеоартрит и еще 5 опасных состоя­ний, связанных с лишним весом",Медицина,Другое
5,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,48bd1ff6-4094-4cd4-a617-70fd2abaa4b2,similar,0.7753370148934274,0.7723700404167175,«Важно есть как можно больше разных продуктов»: гастроэнте­ролог — о микробиоме и здо­ровье кишечника,Медицина,
6,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,0fdc2d6e-30df-41ff-8585-67dd49e2f9a2,similar,0.774999559354356,0.7059780359268188,Можно ли есть творог каждый день?,Медицина,
7,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,9c2a8707-3860-4c3f-8b8d-d36b0917a9d4,similar,0.7722119582088306,0.7732781171798706,«Важно грамотно спланировать рацион»: 8 вопросов о влиянии вегетари­анства на здоровье,Медицина,AMA
8,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,b9ca5a36-e57c-4eb0-8d7d-84bf1c4df8fd,similar,0.7655833370063148,0.7332421541213989,"Правда ли, что DASH-диета снижает давление?",Медицина,
9,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,99f12241-1fd5-4150-b463-5d15d53977bb,similar,0.7602529480103387,0.7820776700973511,Как неправильные подходы к питанию повлияли на мое здоровье,Медицина,Материалы из сообщества
10,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,08af0593-072c-4fd9-9de2-ee40824c079f,similar,0.7590082655091412,0.7351803183555603,"Что делать, если постоянно хочется пить, и когда надо к врачу?",Медицина,
11,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,5efc60c0-1e4e-4e6d-82c3-c5dec48dd151,similar,0.7586174168075177,0.7628530859947205,"6 бесполезных анализов, которые часто назначают эндокринологи",Медицина,Другое
12,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,bfbca3e4-994d-4baf-a399-7aa77e9e75d2,similar,0.7584074244575196,0.7384199500083923,Как я проанализи­ровала свою продуктовую корзину и начала менять пищевые привычки,Медицина,Другое
13,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,676863e6-0539-4567-89e2-de8a37c89226,similar,0.7579846994010611,0.751468300819397,Как не ошибиться при выборе гастро­энтеролога: признаки некомпе­тентного врача,Медицина,Другое
14,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,62c4f49a-ed3a-48e2-9ee1-754ab5d5dfb9,similar,0.756043754715435,0.7423998713493347,Что такое синдром поликистозных яичников и как его лечить: рассказы­вает гинеколог,Медицина,Другое
15,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,05ec7a5a-c3e3-420b-8c7e-be656e4b55bf,similar,0.75047041588882,0.7312333583831787,ЗОЖ-дневник: как я бросил пить и уже 5 месяцев учусь жить по-новому,Медицина,
16,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,ed9a6ec8-7899-42c1-8ca6-59599017f577,similar,0.7490723409131954,0.7067421674728394,«Само не пройдет»: 11 вопросов о депрес­сии,Медицина,
17,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,c68b011b-d59a-4018-bcb0-5101ae4ddeeb,explore,3.758286405054708,0.0,Как получить квар­тиру от госу­дарства по договору соц­найма,Гайды,Как жить
18,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,0d1bdf84-b231-46e5-a099-5c9ad84eb474,explore,2.5180790500071515,0.0,Чем смывать SPF? Спойлер: не только гидрофильным маслом,Медицина,
19,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,282f6e55-3bc4-4ea1-948d-db547e5c8a19,explore,1.8777019065572804,0.0,Можно ли устано­вить нефро­стомы по феде­ральной льготе?,Медицина,Материалы из сообщества
20,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,44a44dc9-2665-4292-86ee-a7d448a522c5,explore,1.8414239878230627,0.0,19 лучших средств от пигментных пятен,Медицина,
