system,rank,title,rubric,author,age_days,views,sim,ltr_score
baseline_sim,1,Как я экономлю с бонусами из магазинов,Другое,Анна Кондрашова,2408,31050,0.739,-0.348
baseline_sim,2,У меня есть бонусная карта. Что магазину с этого?,,Ольга Свистунова,2632,5550,0.726,-0.559
baseline_sim,3,"7 принципов, которые помогут вычислить выгодные акции и скидки",Посты читателей,Аноним,1727,16350,0.718,-0.415
baseline_sim,4,"11 магазинов и сер­висов, которые сделают вам скидку или подарок за у…",Другое,Вероника Нецова,2275,45600,0.702,0.025
baseline_sim,5,Какими бывают банковские карты,Как жить,Виктория Зорина,1603,46350,0.701,-0.327
baseline_sim,6,"27 магазинов и сервисов, которые готовы сделать вам скидку на день ро…",Другое,Редакция,2391,144421,0.698,-0.262
baseline_sim,7,Как я экономлю на доставке продуктов,Другое,Виктория Зорина,1616,77000,0.697,-0.251
baseline_sim,8,28 отличных секонд-хендов в Петербурге,Карты,Мария Агафонова,962,231100,0.694,-0.396
LTR (LightGBM),1,Как экономить на продуктах до 35%,Другое,Артем Кувшинов,2765,430950,0.692,0.503
LTR (LightGBM),2,Как вернуть ненуж­ный подарочный сертификат и получить деньги вместо …,Другое,Виктория Бурчилова,1016,352000,0.657,0.347
LTR (LightGBM),3,Премиум-подписки: как ходить в биз­нес-залы и ездить на такси за счет…,Другое,Анна Кондрашова,316,51700,0.669,0.337
LTR (LightGBM),4,Как живет создательница бренда мужского белья в Москве с доходом 250 …,Дневник трат,Business_Lady_Mom,1282,48350,0.642,0.2
LTR (LightGBM),5,Как живет инженер-программист в Санкт-Петербурге с зарплатой 165 000,Дневник трат,No such file or directory,908,56700,0.642,0.195
LTR (LightGBM),6,Как поздравлять всех коллег с днем рождения и не разориться,Другое,Соня Емельянова,2463,38300,0.637,0.137
LTR (LightGBM),7,Где отметить день рождения в Москве: 15 идей для нескуч­ного праздника,Другое,Саша Скрыпник,437,153650,0.657,0.133
LTR (LightGBM),8,Как устроены программы лояльности сетевых отелей,Другое,Сергей Тиняков,1844,56050,0.673,0.123
