rank,mix,title,department,rubric,sim,ltr_score
1,similar,Лучшие Айфоны: 7 вари­антов,Технологии,Другое,0.791,0.02
2,similar,Лучшие смартфоны до 12 000 : 9 удач­ных моделей,Технологии,Другое,0.735,-0.013
3,similar,Лучшие смартфоны до 20 000 : 10 удачных моделей,Технологии,Другое,0.742,-0.028
4,explore,Бесят тревожные люди,UGC,Материалы из сообщества,0.295,-0.241
5,similar,"Обзор Realme 14 Pro+: корпус-хамелеон, полная защита от воды и …",Сравнятор,,0.723,-0.045
6,similar,Лучшие смартфоны до 60 000 : 13 моделей,Технологии,Другое,0.729,-0.054
7,explore,«Яндекс Фабрика» выпустила свои пер­вые беспроводные клавиатуры…,Технологии,,0.497,-0.551
8,similar,"Xiaomi 14 и Xiaomi 14 Pro: обзор характеристик, версий, цен и о…",Технологии,,0.749,-0.063
9,similar,"Обзор Vivo X200 Ultra: смартфон с камерой, которой нет равных",Технологии,,0.713,-0.077
10,explore,Умный дом: прихоть гика или must have? Мой эксперимент,Технологии,Материалы из сообщества,0.494,-0.511
11,similar,На сколько действи­тельно хватает акку­мулятора iPhone Air,Технологии,,0.715,-0.15
12,similar,"Apple показала iPhone 17 и iPhone Air: камер меньше, функций бо…",UGC,Материалы из сообщества,0.726,-0.156
