rank,mix,title,department,rubric,sim,ltr_score
1,similar,Как стать почетным донором крови,Медицина,Другое,0.714,0.351
2,similar,Как оформить инвалид­ность в 2026 году,Открытая,Другое,0.728,0.325
3,similar,Как получить меди­цинскую справку для экзамена в ГИБДД: чек-лист,Учебники,,0.738,0.147
4,explore,"Какие автомобили нужно прогревать, а какие нет",Авто,,0.489,-0.12
5,similar,"Когда не нужно платить за лечение и куда жаловаться, если требуют денег",Право,Ну и что?,0.729,0.014
6,similar,Водителей в РФ смогут направлять на внеочередные медосмотры: за непрохождение приостановят действие прав,Медицина,Другое,0.698,-0.077
7,explore,"«Цвет был такой редкий, что прохо­жие оборачивались»: 6 историй о покупке первой машины",Авто,,0.464,-0.646
8,similar,Как грамотно пользоваться корпоративным ДМС,Медицина,Другое,0.71,-0.124
9,similar,"8 душевных мест в интернете, где можно спокойно провести время",Интернет,,0.008,-0.213
10,explore,«Рацион стал проще и плотнее»: что я ем после переезда в Патагонию,Еда,Материалы из сообщества,0.376,-0.647
11,similar,Как пожаловаться на врача или поликлинику в Росздравнадзор,Гайды,Другое,0.7,-0.238
12,similar,Как получить меди­цинскую справку СЭМД (196) для поступ­ления в вуз,Образование,,0.718,-0.25
