rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Как распознать тяжелую алкогольную интоксикацию и что делать при отравлении алкоголем,Медицина,Другое,1209,37200,0.729
2,baseline,"Ухудшение памяти, лишний вес и еще 7 неочевидных последствий употреб­ления алкоголя",Медицина,Другое,308,2300,0.694
3,baseline,Сколько можно выпить алкоголя за рулем,Авто,Другое,620,25400,0.69
4,baseline,Совместимы ли алкоголь и занятия спортом?,Спорт и фитнес,Что делать,1163,45750,0.682
5,baseline,Быстро избавиться от похмелья в домашних условиях — это вообще реально?,Медицина,Другое,1944,100200,0.665
6,baseline,Почему опасно пить алкоголь в жаркую погоду?,Что делать,Что делать,1379,11350,0.665
7,baseline,Как выбрать алко­тестер,Гайды,Другое,350,1650,0.664
8,baseline,"Как я веду алкодневник, чтобы меньше пить",UGC,Материалы из сообщества,420,1350,0.664
9,baseline,Как алкоголь влияет на психику и мозг: 6 выводов ученых,Списки,Другое,487,160350,0.659
10,baseline,Как скажется на здоровье отказ от алкоголя?,Медицина,Другое,651,13900,0.654
11,baseline,«Кодирование от алкого­ли­зма — обман»: 13 важных вопросов наркологу,Медицина,Другое,839,32650,0.65
12,baseline,Как пиво влияет на организм и здоровье?,Что делать,Что делать,1848,73250,0.65
