rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Как получить водительские права,Гайды,Как жить,669,370550,0.852
2,baseline,Как поменять водительское удостоверение,Открытая,Другое,753,1178100,0.82
3,baseline,Медсправки для водителей хотели сделать в разы дороже. Но передумали,Право,Ну и что?,2337,60000,0.806
4,baseline,Права при получе­нии водительских прав,Авто,Ваши права,987,109000,0.783
5,baseline,Сколько стоит получить права в автошколе,Открытая,Другое,3361,371100,0.778
6,baseline,Правила медосмотра для водителей изменили: теперь врачи могут назначать дополнительные анализы,Авто,Другое,1490,60450,0.771
7,baseline,Как лечиться по полису ОМС бесплатно,Открытая,Другое,3242,638100,0.764
8,baseline,Техосмотр автомобиля: зачем он нужен и как пройти его по правилам,Гайды,Как жить,1042,289650,0.759
9,baseline,"Что делать, если: потеряли права после лишения или нужно получить их заново",UGC,Что делать,397,4050,0.758
10,baseline,Как пройти медко­миссию для работы на Крайнем Севере?,Медицина,Что делать,2120,118900,0.757
11,baseline,Зачем нужна справка о несудимости,Право,Как жить,1847,320600,0.755
12,baseline,Как поменять ино­странные води­тельские права на российские,Гайды,,62,7450,0.753
