rank,mix,title,department,rubric,sim,ltr_score
1,similar,Какой телефон купить в 2026 году: 8 готовых решений,Сравнятор,Другое,0.131,0.158
2,similar,Лучшие автономные смартфоны: 7 удач­ных моделей,Технологии,Другое,0.805,0.153
3,similar,Лучшие смартфоны Xiaomi: 11 удачных моделей на любой вкус и кошелек,Технологии,Другое,0.867,0.143
4,explore,Бесят тревожные люди,UGC,Материалы из сообщества,0.327,0.208
5,similar,Android-смартфоны: список удачных вариантов на любой бюджет,Технологии,Другое,0.867,0.141
6,similar,"Обзор Vivo X200 Ultra: смартфон с камерой, которой нет равных",Технологии,,0.808,0.099
7,explore,"Рекомендую вафельницу «3 в 1» Kitfort КТ-1660, которая радует меня своей многофункциональностью",Технологии,Материалы из сообщества,0.415,-0.148
8,similar,Лучшие электрон­ные книги: 12 удач­ных моделей,Технологии,Другое,0.782,0.059
9,similar,Лучшие компактные бюджетные ноут­буки: 7 удачных мо­делей,Технологии,Другое,0.816,-0.053
10,explore,Как я уговорил хозяина съемной квартиры автоматизировать его 38 м,Технологии,Материалы из сообщества,0.5,-0.437
11,similar,30 лучших гаджетов 2025 года: от смарт­фонов до виниловых проигрывателей,Технологии,,0.792,-0.187
12,similar,"Honor 500 и 500 Pro: обзор характеристик и цен, сравнение с ана­логами",Технологии,,0.809,-0.222
